PCa_b,trpnmax,Gncx_b,Tref,perm50,nperm,TRPN_n,dr,wfrac,TOT_A,ktm_unblock,ca50,mu,maxI_up,maxTrpn,g_CaL,Tref,perm50,nperm,TRPN_n,dr,wfrac,TOT_A,phi,ca50,mu,CV_ventricles,k_FEC,CV_atria,k_BB,AV_delay,Rsys,Rpulm,Aol,kArt,a_ventricles,bt_ventricles,a_atria,bf_atria,bt_atria,k_peri,p_shift_diastasis,EDP_rv,a_lvrv,Tref_lvrv
0.000132224,0.0725551,0.00168411,153.231,0.282334,2.47993,2.35906,0.225386,0.688506,22.215,0.0296596,0.606469,3.35561,0.00512086,0.0631448,0.121719,82.4525,0.421219,5.30285,1.82393,0.211891,0.407757,15.3468,2.67144,0.928478,9.76335,0.667032,2.90357,0.923253,5.18611,197,1.02243,2.52015,462.144,9.31503,0.721791,2.35288,1.62757,7.03544,2.69859,0.00110772,7.88505,6.14831,1.97788,0.958902
0.000144619,0.0934654,0.00149071,192.816,0.428283,2.91502,2.34091,0.173502,0.558912,28.874,0.0146287,0.55335,3.52332,0.00735256,0.0934395,0.108078,115.638,0.468674,5.87254,1.20228,0.211375,0.282722,15.5848,3.30571,1.0186,13.2957,0.397559,7.50239,0.964487,4.52787,183,3.89817,2.75677,456.472,8.4772,1.04205,1.67087,1.81498,8.03064,3.36041,0.000694606,6.5479,7.14464,1.40639,0.82136
0.00014005,0.113006,0.00140075,145.901,0.201668,2.40895,2.63866,0.243785,0.701819,25.514,0.028879,0.772037,4.41759,0.00720764,0.0773019,0.168296,84.4457,0.484279,5.703,1.5945,0.168004,0.619074,14.3,2.42106,1.21377,6.95999,0.487215,4.28098,0.883787,3.32277,130,3.86051,1.61863,480.922,8.39398,0.617466,2.96823,2.41119,11.3132,2.31074,0.00100168,6.0954,5.00127,1.679,0.872427
0.000147991,0.08928,0.00175611,167.418,0.428595,2.92106,2.91068,0.164933,0.410266,18.8283,0.0305432,0.467911,1.89365,0.00315366,0.0358952,0.109712,105.45,0.300339,4.03575,2.07211,0.274751,0.449029,23.4893,2.2059,1.19486,12.8057,0.458118,5.45363,0.873875,4.965,141,1.76584,2.64943,314.408,6.41822,0.983514,4.31647,1.77937,7.50323,2.63207,0.00113415,5.79075,5.6595,1.4896,0.946482
0.000133795,0.0848775,0.00214615,157.863,0.196649,2.556,2.56582,0.154223,0.39605,30.7556,0.0222705,0.556719,3.33088,0.00629389,0.069383,0.124527,91.5913,0.410854,3.56251,1.53947,0.14747,0.288617,27.0826,1.6374,1.16381,10.9864,0.525536,3.97775,0.98626,4.27586,164,3.59373,2.05656,453.682,8.61294,0.876495,3.90665,2.08711,8.07517,3.66161,0.00081233,7.65044,5.69195,1.72266,0.9952
0.000129853,0.109557,0.00144746,142.388,0.218116,2.64469,2.8158,0.147989,0.522792,16.0542,0.0278663,0.638105,2.84978,0.00657635,0.0939009,0.17478,86.7441,0.456347,5.23044,1.27098,0.304896,0.453346,23.0416,1.67551,1.12052,8.70898,0.695875,2.14451,0.937368,3.65342,164,1.16781,2.9543,329.731,9.21365,0.535652,3.06497,1.87497,4.2398,3.71882,0.000622275,3.12912,3.16188,1.6401,0.99408
0.00012764,0.085856,0.00138731,139.061,0.182085,2.79331,2.93624,0.13893,0.616447,18.3039,0.0222302,0.634774,3.66258,0.00402053,0.058543,0.157321,114.872,0.357731,2.8101,2.97159,0.223841,0.731555,23.8665,1.38798,1.09988,10.7571,0.619437,3.26095,0.827742,4.43738,106,1.09155,2.62264,397.887,8.80653,1.04638,1.95463,1.81603,8.01594,3.59531,0.000825966,6.9744,5.18667,1.88476,0.737331
0.000146638,0.0766044,0.00214537,145.703,0.326136,2.59034,2.77327,0.182672,0.39351,26.1984,0.0230183,0.453421,2.86257,0.00598431,0.103251,0.195594,113.56,0.445018,4.09893,1.61753,0.203331,0.689058,22.8128,1.98232,1.17168,10.0576,0.472597,4.86077,0.975983,2.2777,114,3.01624,3.32625,460.419,7.26687,0.551905,2.54465,2.22086,7.35489,1.86964,0.0013498,5.57437,3.17415,1.86669,0.590613
0.000127897,0.0892069,0.00153655,137.152,0.289095,2.99056,2.89229,0.188601,0.495236,12.6888,0.0200354,0.473047,3.43457,0.007237,0.0826231,0.126203,95.5034,0.453672,3.23533,1.44936,0.265525,0.281841,31.8559,1.87472,1.27734,11.4298,0.430697,7.17228,0.995649,1.94625,140,1.29544,2.74014,375.25,9.98937,0.756211,1.7819,1.5124,4.24737,3.72548,0.00175947,3.4998,4.86696,1.17044,0.828916
0.000107487,0.120233,0.00146952,158.83,0.303608,2.66698,2.75415,0.155579,0.657293,35.1922,0.0293896,0.513566,2.70359,0.00712147,0.0988614,0.181844,81.9,0.444134,5.654,1.15002,0.231275,0.60815,23.2535,3.10021,1.24666,7.18504,0.580352,3.37915,0.924604,3.62292,154,2.97728,2.66115,344.501,8.3218,1.01979,3.12937,2.49918,10.7149,3.35195,0.00117156,4.46096,5.97933,1.71862,0.906463
0.00014291,0.114936,0.00184883,177.211,0.332716,2.58153,2.46552,0.188758,0.632601,26.232,0.0245462,0.570707,2.42888,0.00381508,0.0462913,0.100833,94.1467,0.304154,5.4251,1.8565,0.341065,0.622539,23.9453,1.54288,1.05175,12.0706,0.463638,5.50825,0.90705,3.54838,181,1.1413,1.4993,465.216,9.62933,0.903591,3.53635,1.81208,10.4087,3.72157,0.000575048,6.17253,5.92629,1.49363,0.742539
0.000123044,0.10942,0.00156321,155.192,0.336532,2.4327,2.93435,0.171239,0.427857,21.9932,0.0247479,0.505881,3.84059,0.00414575,0.0499448,0.0973443,113.012,0.407066,5.08958,1.96582,0.258629,0.457557,35.4972,3.22302,0.852984,8.98847,0.483393,4.53408,0.983943,4.19549,184,1.14839,2.11246,467.906,9.5068,0.884278,4.08353,1.86475,7.73672,3.60552,0.000870441,7.29699,6.59068,1.79313,0.646997
0.000110405,0.0884407,0.00139133,144.103,0.339981,3.0198,2.64175,0.22494,0.665493,27.8671,0.0256064,0.494202,3.52931,0.00736169,0.0945251,0.118553,99.2467,0.442389,4.79833,1.37384,0.192442,0.57719,21.0872,2.48471,1.03236,6.25891,0.707025,2.1051,0.891183,2.99845,184,3.33521,1.39748,330.666,9.28773,1.33339,4.36228,1.65616,5.32756,2.88313,0.000552437,4.22519,5.70654,1.50874,0.881335
